,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
105,106,1411637955249.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,215.0,0.16510899055075268,2648.1160607131524,0,1646.0
106,107,1411637966294.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,79.0,0.00026507636037961915,5661.941146347678,0,1662.0
107,108,1411637977023.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,170.0,0.675847247774654,4896.8401576438955,0,1713.0
108,109,1411637987461.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,190.0,8.024120425416212,2104.8191836846568,0,1754.0
109,110,1411637997821.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,149.0,6.474949428010486,2385.277875966009,0,1762.0
110,111,1411638008458.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,239.0,2.247618284134815,3309.7787188826915,0,1773.0
111,112,1411638019057.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,62.0,6.1288915414792555,2984.0764988879355,0,1794.0
112,113,1411638029983.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,86.0,3.6271649351512636,2751.0889068107344,0,1811.0
113,114,1411638040401.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,152.0,0.030004937258847,3307.435595621482,0,1826.0
114,115,1411638051765.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,52.0,6.18273766047521,3037.70322065386,0,1846.0
115,116,1411638062357.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,93.0,5.784736284712211,2709.3612985844766,0,1863.0
116,117,1411638072878.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,138.0,5.097554536724508,3257.0526260092497,0,1876.0
117,118,1411638083466.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,27.0,0.00026507636037961915,5573.590821178666,0,1895.0
118,119,1411638093939.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,5.659241372134634,2365.224812400387,0,1938.0
119,120,1411638104278.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,138.0,0.00026507636037961915,4665.696079870851,0,1946.0
120,121,1411638114816.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,69.0,0.00026507636037961915,7361.127434959625,0,1979.0
121,122,1411638125866.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,156.0,1.4399837015235444,3795.0743903739517,0,2038.0
122,123,1411638136591.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,135.0,0.00026507636037961915,4981.538171339989,0,2061.0
123,124,1411638147045.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,135.0,6.459322301141093,3109.289152011432,0,2094.0
124,125,1411638157605.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,93.0,6.066312429834015,1859.624988913722,1,2109.0
125,126,1411638168077.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,246.0,1.1831966815405361,2670.1469457326793,0,2111.0
126,127,1411638178461.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,83.0,2.551951643933496,3877.2317031770913,0,2120.0
127,128,1411638188966.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,277.0,8.228821679209497,2671.952298020926,0,2142.0
128,129,1411638199362.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,170.0,10.388402130972825,1685.4870868838134,1,2151.0
129,130,1411638209676.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,232.0,0.9565406508378578,4743.302167825189,0,2151.0
130,131,1411638220161.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,208.0,11.434163382568084,1487.8529050034092,1,2180.0
131,132,1411638230695.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,236.0,14.853765756313713,1330.4737564742368,1,2177.0
132,133,1411638241154.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,239.0,15.47493902003956,1412.4181960702283,1,2174.0
133,134,1411638251775.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,229.0,12.15432395924125,1277.7630195781176,1,2170.0
134,135,1411638262115.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,156.0,11.856565268730378,1743.4573035660032,1,2166.0
135,136,1411638272814.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,302.0,15.000098337391357,1079.7527020431319,1,2166.0
136,137,1411638283206.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,319.0,19.01567741415257,899.8636265795902,1,2160.0
137,138,1411638293685.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,239.0,12.56791113817522,1407.9780194657199,1,2153.0
138,139,1411638304053.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,277.0,9.27591701692863,3167.8960483677315,0,2150.0
139,140,1411638314564.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,281.0,11.954688368004492,1483.7143405513202,1,2163.0
140,141,1411638325198.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,145.0,17.46762615236428,1049.6246820127078,1,2161.0
